0001132	true	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	0001117
0001133	true	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	варени и/ или варено-пушени продукти от нераздробено месо	0001117
0001134	true	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	трайни варено-пушени колбаси	0001117
0001135	true	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	сурово-сушени продукти от раздробено месо	0001117
0001136	true	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	сурово-сушени продукти от нераздробено месо	0001117
0001137	true	пастети	пастети	пастети	пастети	0001117
0001138	true	месни продукти, различни, от изброените	месни продукти, различни, от изброените	месни продукти, различни, от изброените	месни продукти, различни, от изброените	0001117
0001139	true	4. Група Г – "риба, рибни продукти и други морски продукти"	4. Група Г – "риба, рибни продукти и други морски продукти"	4. Група Г – "риба, рибни продукти и други морски продукти"	4. Група Г – "риба, рибни продукти и други морски продукти"	0001000
0001140	true	риба – прясна	риба – прясна	риба – прясна	риба – прясна	0001139
0001141	true	риба – охладена	риба – охладена	риба – охладена	риба – охладена	0001139
0001142	true	риба - замразена	риба - замразена	риба - замразена	риба - замразена	0001139
0001143	true	рибни продукти – охладени	рибни продукти – охладени	рибни продукти – охладени	рибни продукти – охладени	0001139
0001144	true	рибни продукти – замразени	рибни продукти – замразени	рибни продукти – замразени	рибни продукти – замразени	0001139
0001145	true	рибни продукти – соловозамразени	рибни продукти – соловозамразени	рибни продукти – соловозамразени	рибни продукти – соловозамразени	0001139
0001146	true	рибни продукти – механично отделени	рибни продукти – механично отделени	рибни продукти – механично отделени	рибни продукти – механично отделени	0001139
0001147	true	рибни продукти – веяни	рибни продукти – веяни	рибни продукти – веяни	рибни продукти – веяни	0001139
0001148	true	рибни продукти – веяно-пушени	рибни продукти – веяно-пушени	рибни продукти – веяно-пушени	рибни продукти – веяно-пушени	0001139
0001149	true	рибни продукти – студено пушени	рибни продукти – студено пушени	рибни продукти – студено пушени	рибни продукти – студено пушени	0001139
0001150	true	рибни продукти – топло пушени	рибни продукти – топло пушени	рибни продукти – топло пушени	рибни продукти – топло пушени	0001139
0001151	true	рибни продукти – осолени	рибни продукти – осолени	рибни продукти – осолени	рибни продукти – осолени	0001139
0001152	true	рибни продукти – мариновани и/или солено-мариновани	рибни продукти – мариновани и/или солено-мариновани	рибни продукти – мариновани и/или солено-мариновани	рибни продукти – мариновани и/или солено-мариновани	0001139
0001153	true	рибни продукти – сушени	рибни продукти – сушени	рибни продукти – сушени	рибни продукти – сушени	0001139
0001154	true	хайвер	хайвер	хайвер	хайвер	0001139
0001155	true	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – живи	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – живи	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – живи	двучерупчести мекотели, бодлокожи, главоноги, ракообразни, мантийни и морски коремоноги – живи	0001139
